,subject,predicate,object
2481,Singapore Naval Base,was defended by,15-inch guns
2482,Singapore Naval Base,was defended by,heavy 15-inch guns
2483,large Singapore Naval Base,was defended by,heavy 15-inch naval guns stationed at Fort Siloso
2484,Singapore Naval Base,was defended by,guns stationed
2485,Singapore Naval Base,was defended by,heavy 15-inch guns stationed
2486,military discussions,referred to,Singapore Naval Base
2487,military discussions,referred to,large Singapore Naval Base
2488,Winston Churchill,touted Singapore Naval Base as,Gibraltar of East
2489,discussions,often referred to,Singapore Naval Base
2490,Winston Churchill,touted,large Singapore Naval Base
2491,discussions,often referred to,large Singapore Naval Base
2492,military discussions,often referred to,Singapore Naval Base
2493,Winston Churchill,touted Singapore Naval Base as,Gibraltar
2494,discussions,referred to,large Singapore Naval Base
2495,discussions,referred to,Singapore Naval Base
2496,military discussions,often referred to,large Singapore Naval Base
2497,Winston Churchill,touted,Singapore Naval Base
2498,Home Fleet,was,sail quickly to Singapore in event of emergency
2499,Home Fleet,was,sail to Singapore in event of emergency
2500,Home Fleet,was,sail quickly to Singapore in event
2501,plan,was,sail quickly to Singapore in event of emergency
2502,plan,was sail in,event
2503,Home Fleet,was,sail to Singapore in event
2504,Home Fleet,was sail quickly in,event of emergency
2505,plan,was sail to,Singapore
2506,plan,was,sail
2507,plan,was,sail to Singapore
2508,plan,was,sail to Singapore in event
2509,plan,was,sail quickly
2510,plan,was,sail quickly in event of emergency
2511,plan,was sail quickly to,Singapore
2512,plan,was,sail in event
2513,Home Fleet,was sail quickly in,event
2514,Home Fleet,was,sail quickly
2515,Home Fleet,was sail in,event
2516,Home Fleet,was sail quickly to,Singapore
2517,plan,was,sail quickly in event
2518,plan,was sail in,event of emergency
2519,plan,was,sail to Singapore in event of emergency
2520,Home Fleet,was sail in,event of emergency
2521,plan,was,sail in event of emergency
2522,plan,was,sail quickly to Singapore
2523,Home Fleet,was,sail
2524,Home Fleet,was sail to,Singapore
2525,plan,was sail quickly in,event of emergency
2526,plan,was,sail quickly to Singapore in event
2527,plan,was sail quickly in,event
2528,World War II,broke out in,1939
2529,British Home Fleet,was occupied,leaving
2530,Singapore,vulnerable to,Japanese invasion
2531,British Home Fleet,was fully occupied,leaving
2532,British Home Fleet,was,fully occupied
2533,British Home Fleet,was,occupied
2534,British Home Fleet,was occupied As,consequence
2535,Singapore,vulnerable to,invasion
2536,British Home Fleet,defending,Britain
2537,British Home Fleet,was fully occupied As,consequence
2538,British Home Fleet,leaving,Singapore vulnerable to invasion
2539,British Home Fleet,leaving,Singapore vulnerable to Japanese invasion
2540,British Home Fleet,leaving,Singapore vulnerable
2541,Japanese invasion,culminated in,Battle of Singapore
2542,invasion,culminated in,Battle
2543,invasion,culminated in,Battle of Singapore
2544,invasion,culminated During,First World War
2545,Japanese invasion,culminated During,First World War
2546,Japanese invasion,culminated in,Battle
2547,minister Winston Churchill,worst disaster in,history
2548,minister Winston Churchill,disaster in,British history
2549,prime minister Winston Churchill,called,disaster
2550,prime minister Winston Churchill,worst disaster in,British history
2551,minister Winston Churchill,disaster in,history
2552,British minister Winston Churchill,called,worst disaster
2553,British minister Winston Churchill,disaster in,history
2554,prime minister Winston Churchill,disaster in,history
2555,British prime minister Winston Churchill,disaster in,history
2556,prime minister Winston Churchill,worst disaster in,history
2557,British minister Winston Churchill,disaster in,British history
2558,minister Winston Churchill,called,worst disaster
2559,British minister Winston Churchill,called,disaster
2560,British prime minister Winston Churchill,worst disaster in,British history
2561,British prime minister Winston Churchill,called,worst disaster
2562,British minister Winston Churchill,worst disaster in,history
2563,British prime minister Winston Churchill,worst disaster in,history
2564,British minister Winston Churchill,worst disaster in,British history
2565,minister Winston Churchill,worst disaster in,British history
2566,worst disaster,is in,British history
2567,minister Winston Churchill,called,disaster
2568,British prime minister Winston Churchill,called,disaster
2569,British prime minister Winston Churchill,disaster in,British history
2570,prime minister Winston Churchill,disaster in,British history
2571,prime minister Winston Churchill,called,worst disaster
2572,British losses,were,heavy
2573,losses,were,heavy
2574,Australians,made up,majority
2575,casualties,amounted to,"1,714 killed"
2576,fighting,is in,Singapore
2577,Japanese casualties,amounted to,"1,714 killed"
2578,occupation,become,major turning point in histories of nations
2579,occupation,become,major turning point in histories of several nations including those of Japan
2580,occupation,become,major turning point in histories
2581,occupation,become,turning point in histories of several nations including those of Japan
2582,occupation,become,turning point in histories
2583,occupation,become,turning point in histories of nations including those
2584,occupation,become,turning point in histories of several nations including those
2585,occupation,become,major turning point in histories of nations including those of Japan
2586,occupation,become,turning point in histories of nations including those of Japan
2587,occupation,become,turning point in histories of nations
2588,occupation,become,major turning point in histories of nations including those
2589,occupation,become,major turning point
2590,major turning point,is in,histories of several nations including those of Japan
2591,occupation,become,turning point
2592,occupation,become,major turning point in histories of several nations including those
2593,occupation,become,major turning point in histories of several nations
2594,occupation,become,turning point in histories of several nations
2595,occupation,was,become
2596,newspapers,deciding,general situation of First World War
2597,newspapers,deciding,general situation
2598,newspapers,triumphantly declared,victory
2599,newspapers,declared,victory
2600,Japanese newspapers,deciding,situation
2601,Japanese newspapers,declared,victory
2602,newspapers,deciding,situation
2603,Japanese newspapers,deciding,situation of First World War
2604,newspapers,deciding,situation of First World War
2605,Japanese newspapers,triumphantly declared,victory
2606,Japanese newspapers,deciding,general situation
2607,Japanese newspapers,deciding,general situation of First World War
2608,Chinese people,were killed in,subsequent Sook Ching massacre
2609,ethnic people,were,killed
2610,people,were killed in,Sook Ching massacre
2611,people,were,killed
2612,Chinese people,were killed in,Sook Ching massacre
2613,Chinese people,were,killed
2614,ethnic people,were killed in,Sook Ching massacre
2615,ethnic people,were killed in,subsequent Sook Ching massacre
2616,people,were killed in,subsequent Sook Ching massacre
2617,ethnic Chinese people,were killed in,subsequent Sook Ching massacre
2618,ethnic Chinese people,were killed in,Sook Ching massacre
2619,ethnic Chinese people,were,killed
2620,forces,liberate Singapore in,1945
2621,forces,liberate,Singapore
2622,British forces,liberate Singapore in,1945
2623,British forces,liberate,Singapore
2624,Singapore,fell After,surrender
2625,Singapore,fell into,brief state
2626,Singapore,fell After,Japanese surrender
2627,Singapore,fell After,surrender on 15 August 1945
2628,Singapore,fell into,state
2629,looting,were,widespread
2630,Singapore,fell into,brief state of violence
2631,Singapore,fell After,Japanese surrender to Allies on 15 August 1945
2632,Singapore,fell After,surrender to Allies on 15 August 1945
2633,Singapore,fell After,Japanese surrender on 15 August 1945
2634,revenge-killing,were,widespread
2635,Singapore,fell After,Japanese surrender to Allies
2636,Singapore,fell After,surrender to Allies
2637,Singapore,fell into,state of violence
2638,troops,receive,formal surrender
2639,troops,receive,surrender
2640,British troops,receive,formal surrender of forces
2641,troops,receive,surrender of forces
2642,British troops,receive,surrender in region
2643,British troops,receive,surrender of Japanese forces
2644,British troops,receive,surrender of forces in region
2645,British troops,receive,surrender of forces in region from General Itagaki Seishiro
2646,British troops,led by,Lord Louis Mountbatten
2647,troops,receive,formal surrender of forces in region from General Itagaki Seishiro
2648,British troops,receive,formal surrender of forces in region
2649,troops,receive,formal surrender of forces
2650,British troops,receive,formal surrender of Japanese forces
2651,troops,receive surrender on,12 September 1945
2652,troops,receive,formal surrender of Japanese forces in region from General Itagaki Seishiro
2653,British troops,receive,surrender in region from General Itagaki Seishiro
2654,British troops,receive surrender on behalf of,General Hisaichi Terauchi
2655,British troops,receive,formal surrender in region
2656,British troops,receive,surrender of Japanese forces in region from General Itagaki Seishiro
2657,troops,receive,surrender of forces in region from General Itagaki Seishiro
2658,troops,receive,surrender in region from General Itagaki Seishiro
2659,troops,receive,formal surrender of forces in region
2660,troops,receive,formal surrender in region from General Itagaki Seishiro
2661,British troops,receive,surrender of forces
2662,British troops,receive,surrender of Japanese forces in region
2663,British troops,receive,formal surrender of Japanese forces in region
2664,troops,receive,surrender of Japanese forces in region from General Itagaki Seishiro
2665,British troops,receive,formal surrender of Japanese forces in region from General Itagaki Seishiro
2666,formal surrender,is in,region from General Itagaki Seishiro
2667,troops,led by,Lord Louis Mountbatten
2668,British troops,receive,formal surrender
2669,British troops,receive surrender on,12 September 1945
2670,troops,receive,surrender in region
2671,troops,receive,surrender of Japanese forces
2672,troops,receive surrender on behalf of,General Hisaichi Terauchi
2673,British troops,receive,formal surrender of forces in region from General Itagaki Seishiro
2674,troops,receive,formal surrender in region
2675,troops,receive,formal surrender of Japanese forces
2676,British troops,receive,surrender
2677,troops,receive,surrender of Japanese forces in region
2678,troops,receive,formal surrender of Japanese forces in region
2679,troops,receive,surrender of forces in region
2680,British troops,receive,formal surrender in region from General Itagaki Seishiro
2681,Tomoyuki Yamashita,was convicted on,23 February 1946
2682,Tomoyuki Yamashita,was,convicted in Philippines on 23 February 1946
2683,Tomoyuki Yamashita,was,convicted
2684,Tomoyuki Yamashita,was convicted in,Philippines
2685,Much,had,had destroyed
2686,Much,had,had destroyed including those needed
2687,Much,had,had destroyed including those
2688,Much,had,had destroyed during First World War including those needed
2689,Singapore,of,infrastructure
2690,Much,had,had destroyed during First World War
2691,Much,had,had destroyed during First World War including those
2692,shortage,led to,malnutrition
2693,strikes,caused,stoppages in transport
2694,strikes,caused,stoppages
2695,strikes,caused,massive stoppages in public transport
2696,massive stoppages,is in,public transport
2697,series,is in,1947
2698,strikes,caused,stoppages in public transport
2699,strikes,caused,massive stoppages
2700,strikes,caused,massive stoppages in transport
2701,economy,began,recover
2702,economy,However began,recover
2703,economy,began by,late 1947
2704,economy,However began by,late 1947
2705,Military Administration,ended,Singapore becoming
2706,British Military Administration,ended on,1 April 1946
2707,Military Administration,ended on,1 April 1946
2708,Singapore,becoming,separate Crown Colony
2709,British Military Administration,ended,Singapore becoming
2710,Singapore,becoming,Crown Colony
2711,separate Executive,were,established
2712,separate Executive,were,In July 1947 established
2713,Executive,were,established
2714,Executive,were,In July 1947 established
2715,Chinese communists,is with,strong ties to trade unions
2716,Singapore,has,first general election
2717,David Marshall,won,Singapore 's first general election
2718,David Marshall,won,Singapore 's election
2719,David Marshall,leader of,Labour Front
2720,David Marshall,won,Singapore 's first election
2721,David Marshall,won,Singapore 's general election
2722,He,was,replaced by Lim Yew Hock in 1956
2723,He,was replaced in,1956
2724,He,was replaced by,Lim Yew Hock
2725,He,was,replaced
2726,People,has,Action Party
2727,People,'s Party is,PAP
2728,People 's Action Party,won landslide victory During,subsequent May 1959 elections
2729,People 's Action Party,won,landslide victory
2730,People 's Action Party,won landslide victory During,May 1959 elections
2731,first Yang di-Pertuan Negara,Head of,State
2732,Governor Sir William Allmond Codrington Goode,served as,first Yang di-Pertuan Negara
2733,Governor Sir William Allmond Codrington Goode,served as,Yang di-Pertuan Negara
2734,Governor Sir William Allmond Codrington Goode,served as,Head of State
2735,Governor Sir William Allmond Codrington Goode,served as,Head
2736,PAP leaders,believed,that
2737,It,was,thought
2738,pro-communist wing,fearing,loss of influence
2739,wing,fearing,loss of influence
2740,sizeable pro-communist wing,was,However opposed
2741,pro-communist wing,hence formed,Barisan Sosialis
2742,sizeable wing,was,However opposed
2743,sizeable pro-communist wing,formed,splitting
2744,sizeable pro-communist wing,hence formed,splitting from PAP
2745,wing,was,opposed
2746,sizeable pro-communist wing,hence formed,splitting
2747,pro-communist wing,was,However opposed
2748,wing,was,strongly opposed
2749,sizeable pro-communist wing,fearing,loss
2750,sizeable wing,hence formed,Barisan Sosialis
2751,sizeable pro-communist wing,was,However strongly opposed
2752,sizeable wing,was,opposed
2753,wing,hence formed,Barisan Sosialis
2754,sizeable wing,was,strongly opposed
2755,pro-communist wing,was,opposed
2756,sizeable wing,formed,splitting from PAP
2757,sizeable pro-communist wing,formed,Barisan Sosialis
2758,pro-communist wing,formed,Barisan Sosialis
2759,wing,was,However strongly opposed
2760,wing,fearing,loss
2761,sizeable wing,formed,splitting
2762,wing,formed,Barisan Sosialis
2763,wing,hence formed,splitting
2764,sizeable pro-communist wing,hence formed,Barisan Sosialis
2765,sizeable wing,fearing,loss
2766,sizeable wing,hence formed,splitting
2767,Barisan Sosialis,splitting from,PAP
2768,sizeable pro-communist wing,formed,splitting from PAP
2769,pro-communist wing,was,However strongly opposed
2770,pro-communist wing,fearing,loss
2771,wing,was,However opposed
2772,sizeable pro-communist wing,was,opposed
2773,wing,formed,splitting from PAP
2774,pro-communist wing,formed,splitting from PAP
2775,pro-communist wing,hence formed,splitting from PAP
2776,sizeable pro-communist wing,was,strongly opposed
2777,sizeable wing,hence formed,splitting from PAP
2778,sizeable wing,fearing,loss of influence
2779,wing,formed,splitting
2780,pro-communist wing,was,strongly opposed
2781,pro-communist wing,hence formed,splitting
2782,sizeable wing,formed,Barisan Sosialis
2783,sizeable wing,was,However strongly opposed
2784,sizeable pro-communist wing,fearing,loss of influence
2785,pro-communist wing,formed,splitting
2786,wing,hence formed,splitting from PAP
2787,party,was,anti-communist
2788,UMNO,factions of,PAP
2789,UMNO,support,non-communist factions
2790,ruling party,was,staunchly anti-communist
2791,ruling party,was,suspected
2792,party,was,staunchly anti-communist
2793,party,was,suspected
2794,UMNO,support,factions of PAP
2795,UMNO,support,non-communist factions of PAP
2796,UMNO,support,factions
2797,ruling party,was,anti-communist
2798,UMNO,non-communist factions of,PAP
2799,UMNO,initially sceptical of,idea of merger due to distrust of PAP government
2800,UMNO,initially sceptical of,idea
2801,UMNO,sceptical of,idea of merger due to distrust of PAP government
2802,large ethnic Chinese population,is in,Singapore
2803,racial balance,is in,Malaya
2804,large ethnic Chinese population,is in,Singapore political power base
2805,UMNO,initially sceptical of,idea of merger
2806,UMNO,sceptical of,idea
2807,UMNO,sceptical of,idea of merger due
2808,UMNO,sceptical of,idea of merger due to distrust
2809,UMNO,sceptical of,idea of merger
2810,UMNO,initially sceptical of,idea of merger due
2811,UMNO,initially sceptical of,idea of merger due to distrust
2812,Malaya 's minister,made surprise proposal On,27 May 1961
2813,Malaya 's minister,made,surprise proposal for new Federation
2814,Malaya 's prime minister,made,surprise proposal for Federation
2815,Malaya 's prime minister,made,surprise proposal
2816,Malaya,'s minister is,Tunku Abdul Rahman
2817,Malaya 's prime minister,made,surprise proposal for new Federation called
2818,Malaya 's prime minister,made,surprise proposal for Federation called
2819,Malaya 's minister,made,surprise proposal for new Federation called
2820,Malaya 's minister,made,surprise proposal
2821,Malaya 's prime minister,made,surprise proposal for new Federation
2822,Malaya 's minister,made,surprise proposal for Federation
2823,current British possessions,is in,region
2824,Malaya 's prime minister,made surprise proposal On,27 May 1961
2825,Malaya 's minister,made,surprise proposal for Federation called
2826,Malaya,has,prime minister
2827,additional Malay population,is in,Bornean territories
2828,Singapore,has,Chinese population
2829,government,believed for,government part
2830,PAP,obtain,mandate
2831,PAP,held,referendum on merger
2832,PAP,obtain,mandate for merger
2833,PAP,held,referendum
2834,merger,is with,Malaysia
2835,Singapore,form,Federation
2836,Singapore,form Federation under,terms
2837,Singapore,form,Federation of Malaysia
2838,Singapore,form,new Federation
2839,Singapore,form Federation under,terms of Malaysia Agreement
2840,Singapore,joined with,Malaya
2841,Singapore,form,new Federation of Malaysia
2842,Singapore,joined On,16 September 1963
2843,Singapore,joined with,North Borneo
2844,Singapore,had,high level of autonomy
2845,Singapore,had,high level
2846,Singapore,had,level of autonomy
2847,Singapore,had,relatively high level
2848,Singapore,had,relatively high level of autonomy
2849,Singapore,had,level
2850,Singapore,had level Under,Malaysia Agreement
2851,Indonesia,opposed,formation of Malaysia
2852,Indonesia,opposed,formation
2853,Confrontation,is in,response to formation of Malaysia
2854,Confrontation,is in,Indonesian
2855,bomb,exploded On,10 March 1965
2856,three people,injuring,33 others
2857,bomb,planted on,mezzanine floor MacDonald House
2858,bomb,planted on,mezzanine floor
2859,bomb,planted by,Indonesian saboteurs
2860,bomb,planted by,saboteurs
2861,It,was deadliest of,at least 42 bomb incidents
2862,Confrontation,is in,Indonesian
2863,It,was,deadliest
2864,bomb,planted on,mezzanine floor
2865,bomb,caused,"US$ 250,000"
2866,bomb,caused,equivalent
2867,bomb,planted on,mezzanine floor MacDonald House
2868,bomb,planted by,saboteurs
2869,bomb,planted by,Indonesian saboteurs
2870,Singapore,face,restrictions
2871,trading,is with,rest of Malaysia
2872,speeches,became on,sides
2873,abusive speeches,became on,sides
2874,writing,became on,sides
2875,communal strife,is in,Singapore
2876,Malaysian prime minister Tunku Abdul Rahman,advised,Parliament of Malaysia
2877,Malaysian minister Tunku Abdul Rahman,advised,Parliament
2878,Parliament,expel,Singapore
2879,minister Tunku Abdul Rahman,Parliament of,Malaysia
2880,minister Tunku Abdul Rahman,advised,Parliament of Malaysia
2881,Parliament,expel Singapore from,Malaysia
2882,Malaysian minister Tunku Abdul Rahman,Parliament of,Malaysia
2883,minister Tunku Abdul Rahman,advised,Parliament
2884,Malaysian prime minister Tunku Abdul Rahman,Parliament of,Malaysia
2885,prime minister Tunku Abdul Rahman,advised,Parliament of Malaysia
2886,Malaysian minister Tunku Abdul Rahman,advised Parliament On,7 August 1965
2887,prime minister Tunku Abdul Rahman,advised Parliament On,7 August 1965
2888,prime minister Tunku Abdul Rahman,advised,Parliament
2889,Malaysian minister Tunku Abdul Rahman,advised,Parliament of Malaysia
2890,Malaysian prime minister Tunku Abdul Rahman,advised Parliament On,7 August 1965
2891,Malaysian prime minister Tunku Abdul Rahman,advised,Parliament
2892,minister Tunku Abdul Rahman,advised Parliament On,7 August 1965
2893,prime minister Tunku Abdul Rahman,Parliament of,Malaysia
2894,Parliament,voted On,9 August 1965
2895,Parliament,voted,126
2896,Parliament,voted to,0
2897,Singapore,became as,first prime minister respectively
2898,Singapore,became as,first minister
2899,Singapore,became as,Republic of Singapore
2900,Singapore,became as,Republic
2901,Singapore,became as,minister
2902,Singapore,became as,prime minister
2903,Singapore,became,independent
2904,Singapore,became with,Lee Kuan Yew
2905,Singapore,became on,9 August 1965
2906,Singapore,became as,first minister respectively
2907,Singapore,became as,first prime minister
2908,Singapore,became as,prime minister respectively
2909,Singapore,became as,minister respectively
2910,country,co-founded,Association of Southeast Nations
2911,country,co-founded,Association of Southeast Asian Nations
2912,country,co-founded Association In,1967
2913,country,co-founded,Association
2914,country,co-founded,Association of Nations
2915,country,co-founded,Association of Asian Nations
2916,Race riots,broke out more in,1969
2917,Race riots,broke out once more in,1969
2918,Race riots,broke out in,1969
2919,limitations,shaped Singapore 's policies for,half-century
2920,Singapore,has,policies
2921,limitations,shaped Singapore 's policies for,next half-century
2922,limitations,shaped,Singapore 's policies
2923,growth,continued throughout,1980s
2924,Economic growth,continued,unemployment rate falling
2925,unemployment rate,falling to,3 %
2926,Economic growth,continued,unemployment rate falling to 3 %
2927,Economic growth,continued throughout,1980s
2928,growth,continued,unemployment rate falling
2929,growth,continued,unemployment rate falling to 3 %
2930,Singapore,began During,1980s
2931,neighbouring countries,began,manufacturing
2932,Singapore,shift,remain
2933,countries,began,manufacturing
2934,neighbouring countries,began,manufacturing with labour
2935,neighbouring countries,manufacturing with,cheaper labour
2936,Singapore,began,shift towards industries
2937,neighbouring countries,began,manufacturing with cheaper labour
2938,countries,began,manufacturing with labour
2939,Singapore,began,shift
2940,countries,manufacturing with,cheaper labour
2941,Singapore,shift towards,high-tech industries
2942,Singapore,shift towards,industries
2943,countries,manufacturing with,labour
2944,neighbouring countries,manufacturing with,labour
2945,countries,began,manufacturing with cheaper labour
2946,Singapore Airlines,was,formed
2947,Singapore Changi Airport,was opened in,1981
2948,Singapore Changi Airport,was,opened
2949,Port,became,grew immensely during period
2950,Port,became,one world 's busiest ports
2951,Port,became,also grew immensely
2952,Port,also grew during,period
2953,Port,became,also grew immensely during period
2954,Port,became,grew during period
2955,Port,became,also grew during period
2956,Port,also grew immensely during,period
2957,Port,became,also grew
2958,Port,became,grew
2959,Port,became,grew immensely
2960,world,of,busiest ports
2961,Port,became,one of world 's busiest ports
2962,Port,grew immensely during,period
2963,Port,became,one of world 's ports
2964,Port,became,one world 's ports
2965,Port,grew during,period
2966,opposition politicians,strict regulation by,government
2967,PAP,is believed,rule in manner by activists
2968,opposition politicians,regulation of,activities
2969,opposition politicians,see regulation as,infringement on rights
2970,PAP,is believed,rule by activists
2971,opposition politicians,see,regulation by government
2972,opposition politicians,strict regulation of,activities
2973,PAP,is,believed
2974,opposition politicians,regulation by,government
2975,opposition politicians,see regulation as,infringement
2976,opposition politicians,strict regulation of,political activities
2977,opposition politicians,see,regulation of political activities
2978,opposition politicians,see,strict regulation of activities by government
2979,PAP,rule in,authoritarian manner
2980,opposition politicians,see,regulation of activities
2981,PAP,is believed,rule in authoritarian manner
2982,opposition politicians,see,strict regulation of activities
2983,PAP,is believed,rule
2984,opposition politicians,see regulation as,infringement on political rights
2985,PAP,is believed,rule in manner
2986,opposition politicians,see,strict regulation of political activities by government
2987,PAP,rule in,manner
2988,opposition politicians,see,regulation of activities by government
2989,opposition politicians,see,strict regulation of political activities
2990,opposition politicians,see,strict regulation
2991,opposition politicians,see,strict regulation by government
2992,PAP,is believed,rule in authoritarian manner by activists
2993,PAP,rule by,activists
2994,opposition politicians,regulation of,political activities
2995,opposition politicians,see,regulation of political activities by government
2996,opposition politicians,see,regulation
2997,Singapore,has seen,significant political changes
2998,Singapore,has seen In,response
2999,Singapore,has seen changes In,response
3000,Singapore,has seen,several significant political changes
3001,Singapore,has seen,several significant changes
3002,introduction,is in,1984
3003,Singapore,has seen,political changes
3004,Singapore,has seen,significant changes
3005,Singapore,has seen,several changes
3006,Singapore,has seen,several political changes
3007,Singapore,has seen,changes
3008,Group Representation Constituencies,create,divisions
3009,Group Representation Constituencies,create,electoral divisions
3010,Group Representation Constituencies,were,introduced
3011,Group Representation Constituencies,were introduced in,1988
3012,Group Representation Constituencies,create,multi-seat divisions
3013,minority representation,is in,parliament
3014,Group Representation Constituencies,create,multi-seat electoral divisions
3015,members,allow,MPs
3016,members,allow,non-partisan MPs
3017,Nominated members,were,introduced
3018,members,were introduced,allow
3019,members,were introduced in,1990
3020,Nominated members,allow,non-partisan MPs
3021,members,allow,non-elected MPs
3022,Nominated members,allow,non-elected MPs
3023,Nominated members,allow,non-elected non-partisan MPs
3024,members,allow,non-elected non-partisan MPs
3025,members,were,introduced
3026,Nominated members,were introduced in,1990
3027,Nominated members,allow,MPs
3028,Nominated members,were introduced,allow
3029,Constitution,was amended,provide for Elected President
3030,Constitution,provide for,Elected President
3031,Constitution,provide for,President
3032,Constitution,was amended in,1991
3033,Constitution,was amended,provide for President
3034,Constitution,was amended,provide
3035,Constitution,was,amended
3036,Goh Chok Tong,succeeded Hock Lee In,1990
3037,Singapore,has,second prime minister
3038,Goh Chok Tong,became,Singapore 's second minister
3039,Goh Chok Tong,became,Singapore 's second prime minister
3040,Goh Chok Tong,succeeded,Hock Lee
3041,Goh Chok Tong,became,Singapore 's minister
3042,Goh Chok Tong,became,Singapore 's prime minister
3043,country,went through,1997 Asian financial crisis
3044,Goh,During,tenure
3045,country,went through,1997 Asian crisis
3046,country,went During,Goh 's tenure
3047,country,went through,1997 financial crisis
3048,country,went through,1997 crisis
3049,Lee Hsien Loong,became,country 's prime minister
3050,Lee Hsien Loong,son of,Lee Kuan Yew
3051,Lee Hsien Loong,became,country 's third minister
3052,Lee Hsien Loong,became,country 's third prime minister
3053,Lee Hsien Loong,became In,2004
3054,Lee Hsien Loong,became,country 's minister
3055,country,has,third prime minister
3056,Lee Hsien Loong,has,tenure
3057,Lee Hsien Loong 's tenure,included,1997 Asian crisis
3058,Lee Hsien Loong 's tenure,included,2003 SARS outbreak
3059,Lee Hsien Loong 's tenure,included,1997 financial crisis
3060,Lee Hsien Loong 's tenure,included,1997 Asian financial crisis
3061,Lee Hsien Loong 's tenure,included,1997 crisis
3062,People,'s Party is,PAP
3063,People,'s Party is,PAP
3064,People 's Action Party,ever electoral results in,2011
3065,People 's Action Party,worst,ever electoral results in 2011
3066,People 's Action Party,worst results amidst,debate over issues including influx of foreign workers
3067,People 's Action Party,results in,2011
3068,People 's Action Party,worst results amidst,debate over issues
3069,People,has,Action Party
3070,People,has,Action Party
3071,People 's Action Party,winning,just 60 % of votes
3072,People 's Action Party,worst results amidst,debate over issues including influx of workers
3073,People 's Action Party,worst,electoral results
3074,People 's Action Party,winning,just 60 %
3075,electoral results,is in,2011
3076,People 's Action Party,worst results amidst,debate over issues including influx
3077,People 's Action Party,worst,results in 2011
3078,People 's Action Party,worst,results
3079,People 's Action Party,electoral results in,2011
3080,People 's Action Party,worst,ever electoral results
3081,People 's Action Party,worst,electoral results in 2011
3082,People 's Action Party,worst results amidst,debate
3083,period,was,observed nationwide
3084,Lee Kuan Yew,died On,23 March 2015
3085,period,was,observed
3086,one-week period,was,observed
3087,one-week period,was,observed nationwide
3088,People,'s Party is,PAP
3089,People,'s Party is,PAP
3090,People 's Action Party,dominance through,September election
3091,People 's Action Party,receiving,69.9 % of popular vote
3092,People 's Action Party,dominance,remained
3093,People,has,Action Party
3094,People,has,Action Party
3095,People 's Action Party,dominance in,Parliament
3096,People 's Action Party,dominance through,September general election
3097,People 's Action Party,receiving,69.9 %
3098,People 's Action Party dominance,is in,Parliament
3099,People 's Action Party,receiving,69.9 % of vote
3100,People 's Action Party,took,number won by opposition party
3101,People,'s Party is,PAP
3102,People,'s Party is,PAP
3103,People 's Action Party,drop to,61 % of vote
3104,People 's Action Party,took,highest number
3105,People 's Action Party,took,highest number ever won
3106,People 's Action Party,took,number ever won by opposition party
3107,People 's Action Party,took,number ever won
3108,People 's Action Party,drop to,61 %
3109,People 's Action Party,took,highest number won
3110,People,has,Action Party
3111,People,has,Action Party
3112,People 's Action Party,took,number
3113,People 's Action Party,took,number won
3114,People 's Action Party,took,highest number won by opposition party
3115,People 's Action Party,took,highest number ever won by opposition party
3116,Singapore,is republic based on,Westminster system
3117,Singapore,is parliamentary republic based on,Westminster system
3118,Singapore,is,parliamentary
3119,Singapore,is,republic
3120,Singapore,is,parliamentary republic
3121,responsibility,structure of,government
3122,Constitution,is law of,country
3123,Constitution,is supreme law of,country
3124,Constitution,is,law
3125,Constitution,establishing,structure
3126,Constitution,is,supreme law
3127,Constitution,establishing,structure of government
3128,Constitution,establishing,responsibility
3129,Lee Kuan Yew,is,head of state executive power on advice
3130,Lee Kuan Yew,is,head of state power on advice of her ministers
3131,Lee Kuan Yew,is,head
3132,Lee Kuan Yew,is head on,advice of her ministers
3133,Lee Kuan Yew,is head on,advice
3134,Lee Kuan Yew,is,head of state power on advice
3135,Lee Kuan Yew,is,head of state executive power on advice of her ministers
3136,Lee Kuan Yew,is head of,state executive power
3137,Lee Kuan Yew,is head of,state power
3138,country 's prime minister,is appointed as,person most likely
3139,country 's third minister,is,appointed
3140,country,has,third prime minister
3141,country 's third prime minister,is,appointed
3142,country 's prime minister,is,appointed
3143,country 's third prime minister,is appointed as,person most likely
3144,country 's third minister,is head of,government
3145,country 's minister,is appointed as,person likely
3146,country 's minister,is appointed by,Lee Kuan Yew
3147,country 's third prime minister,is appointed as,person likely
3148,country 's third minister,is appointed as,person most likely
3149,country 's minister,is head of,government
3150,country 's minister,is,appointed by Lee Kuan Yew as person most likely
3151,country 's prime minister,is appointed by,Lee Kuan Yew
3152,country 's prime minister,is,appointed by Lee Kuan Yew as person most likely
3153,country 's minister,is,head
3154,country 's prime minister,is,head
3155,country 's prime minister,is appointed as,person likely
3156,country 's third minister,is appointed as,person likely
3157,country 's third minister,is appointed by,Lee Kuan Yew
3158,country 's prime minister,is head of,government
3159,country 's minister,is,appointed
3160,country 's third prime minister,is appointed by,Lee Kuan Yew
3161,country 's third prime minister,is head of,government
3162,country 's third prime minister,is,appointed by Lee Kuan Yew as person likely
3163,country 's third minister,is,head
3164,country 's third minister,is,appointed by Lee Kuan Yew as person likely
3165,country 's minister,is appointed as,person most likely
3166,country 's minister,is,appointed by Lee Kuan Yew as person likely
3167,country 's third prime minister,is,appointed by Lee Kuan Yew as person most likely
